,Start,End
0,2022-07-09 09:13:38.347362,2022-07-09 09:13:40.644717
1,2022-07-09 09:13:41.178926,2022-07-09 09:13:41.311980
2,2022-07-09 09:13:41.443719,2022-07-09 09:13:41.840501
3,2022-07-09 09:13:41.914407,2022-07-09 09:13:42.379296
4,2022-07-09 09:13:42.440766,2022-07-09 09:13:42.511449
5,2022-07-09 09:13:42.575667,2022-07-09 09:13:44.039091
6,2022-07-09 09:13:44.174605,2022-07-09 09:13:44.313805
7,2022-07-09 09:13:44.641405,2022-07-09 09:13:46.177639
8,2022-07-09 09:13:46.509959,2022-07-09 09:13:46.579715
9,2022-07-09 09:13:46.710776,2022-07-09 09:13:47.775749
10,2022-07-09 09:13:47.906320,2022-07-09 09:13:47.973350
11,2022-07-09 09:13:49.375473,2022-07-09 09:13:49.642939
12,2022-07-09 09:13:49.711891,2022-07-09 09:13:53.673618
13,2022-07-09 09:13:53.804450,2022-07-09 09:13:54.338330
14,2022-07-09 09:13:54.474193,2022-07-09 09:13:56.719529
